headings,paras,label
छैटौं पोखरा कप माघमा,छैटौं मनकामना केबुलकार पोखरा कप अन्तर्राष्ट्रिय फुटबल माघ १५ देखि २६ सम्म पोखरा रंगशालामा हुने भएको छ । कास्की जिल्ला फुटबल संघले मंगलबार पत्रकार सम्मेलन गरी प्रतियोगिताबारे जानकारी दिएको हो । ,sports
थाइल्यान्डमा नेपालीको रकम चोरी,थाइल्यान्डको पताया सहर घुम्न जाने नेपाली व्यापारीको रकम चोरी भएको छ । पतायाको तेज प्यालेस थ्री स्टार होटेलमा बसेका नेपाली व्यापारीहरूको रकम चोरी भएको  थाइल्यान्डबाट प्रदीप मैनालीले बताए । ,business
होलोकास्ट बुझाउने फिल्म,फिल्म बुझ्ने र व्याख्या गर्ने तरिका दर्शकपिच्छे फरक हुन सक्छ। त्यसमाथि ‘सन अफ सउल’ जस्तो ‘ओपन इन्डेड’ फिल्मलाई अनेक तरिकाले अथ्र्याउन सकिन्छ। सन्डे सिनेमाको संवाद शृंखलामा पनि दर्शकले यसलाई आ–आफ्नै रूपमा अथ्र्याउनतर्फ लागे।,entertainment
रुसी प्रशिक्षकको सम्झौता थप,रुसी राष्ट्रिय फुटबल टोलीका प्रशिक्षक स्टानिस्लाभ चर्चेसोभले शुक्रबार दुई वर्षका लागि सम्झौता थप गरेका छन् ।,sports
सुदूरपश्चिमको गीत लिएर रेखा,‘सिमसिमे पानीमा’ गीतमार्फत वर्षौंदेखि श्रोतामनमा बसिरहेकी गायिका रेखा शाह नयाँ शैलीको गीतसहित आएकी छन् । ,entertainment
झापा गोल्डकपमा घरेलु टाेलीकाे जित,आयोजक झापा ११ ले मगमग चौथो झापा गोल्डकप फुटबलको शनिबार उद्घाटन खेलमा सहारा क्लब पोखरालाई २–० ले पराजित गर्दै क्वाटरफाइनलमा स्थान बनाएको छ । ,sports
अनुदान दिने बहानामा लाखौं ठगी,अनुदान दिने प्रलोभनमा दुई दर्जन बढी किसानलाई ठगी गरेको खुलासा भएको छ । कृषिसम्वन्धी विभिन्न फर्म सञ्चालन गर्ने किसानहरुलाई ७० प्रतिशत अनुदान दिने प्रलोभनमा खोटाङका दुई दर्जन बढी किसानलाई ठगी गरेको हो ।,business
बजार अनुगमन: ठूला व्यापारीको गोदाम पत्ता लागेन,उपभोग्य वस्तु लुकाएर भाउ बढाएको आशंकामा अनुगमन गर्न निस्किएको सरकारले ठूला व्यापारीको गोदाम पत्ता लगाउन सकेन । बजेटपश्चात् केही ठूला व्यवसायीले कृत्रिम मूल्य वृद्धि गरेको गुनासो आएपछि सरकारी अनुगमन टोली गोदाम खोज्दै हिँडेको थियो ।,business
विज्डमलाई डीसीए कप,"डीसीए कप अन्तरस्कुल क्रिकेटको उपाधि विज्डम एकेडमी बैलारी, कञ्चनपुरले जितेको छ ।
धनगढीको फाप्ला क्रिकेट मैदानमा बुधबार सम्पन्न फाइनलमा विज्डमले ऐश्वर्य विद्या निकेतनलाई २६ रनले हराएको थियो । टस जितेको विज्डमले १ सय २७ रन बनाएको थियो ।",sports
शाकाहारी अनुभव,फिगरलाई ‘फिट’ राख्न अभिनेता निखिल उप्रेती सधैं जिम जान्छन् । नियमित एक्सरसाइजसँगै तागतिलो खानपिनको आवश्यक त छँदै छ ।,entertainment
कालीगण्डकी करिडोर : चौडा पार्न २० करोड निकासा,सरकारले कालीगण्डकी करिडोर चौडा पार्न २० करोड रुपैयाँ निकासा गरेको छ । नेपाली सेनाले निर्माणको जिम्मा लिएको बागलुङ र गुल्मी खण्डका लागि उक्त रकम रकमान्तरण गराएको अर्थमन्त्री युवराज खतिवडाले बताएका छन् । ,business
तेरिया फौजा मगर : डान्स स्टार,तेरिया फौजा मगर नृत्यांगना हुन् । अहिलेसम्म २० देशमा नृत्य देखाइसकेकी छन् । उनले भारत र नेपालका विभिन्न ठाउँमा अझ धेरै सो गरेकी छन् । नाचेरै उनले नेपाल र भारतमा धेरै उपाधि जितेकी छन् । अहिलेसम्म उनलाई करिब ४ सय संघसंस्थाले सम्मान गरिसकेका छन् । ,entertainment
पश्चिमका महिलाको सुखदु:खको साथी डेउडा,"निर्मला जैसीलाई डेउडा दोहोरी खेल्न कसैले भेटदैन । मंगलसैन ६ की उनी गाउँघरमा हुने विवाह, व्रतबन्धमा प्राय: छुटदिनन् । नाचगान (रत्यौली) मा डेउडा कहाँ छुटनु !",entertainment
‘अजयले गर्दा बिहे भएन’,"अभिनेत्री तबु बलिउड र हलिउडकी समेत महसुर कलाकार मानिन्छिन् । उनले थुप्रै चर्चित फिल्महरू दिइसकेकी छन् । सन् १९८० देखि नै फिल्म क्षेत्रमा लागेकी उनी अझै सिंगल छिन् । आफू अविवाहित हुनुको कारण भने उनले आफ्नो प्रिय साथी एवं को–एक्टर, अजय देवगनलाई मान्ने गरेकी छन् । उनी ४५ वर्षकी भइसकेकी छन् । 
",entertainment
कलाकारहरू सम्मानित,"विश्व संगीत दिवसका अवसरमा पोखरामा तीन स्रष्टा सम्मानित भएका छन् ।
नृत्यमा योगदान दिने रत्नदेवी दास, गायक सुवर्ण बज्राचार्य र संगीतकार अमर गुरुङ ‘पोखरेली’ सम्मानित भएका हुन् । भक्ति संगीत प्रतिष्ठान, तराना म्युजिक सेन्टर र गुरुकुल संगत प्रशिक्षण केन्द्रले समारोह आयोजना गरी स्रष्टा सम्मान गरेका हुन् ।",entertainment
सात महिनामा साढे १२ अर्ब थपियो,चालु आर्थिक वर्षको सात महिनामा बैंक तथा वित्तीय संस्थाले हायर पर्चेज (सवारी साधन) मा थप १२ अर्ब रुपैयाँ कर्जा विस्तार गरेका छन् ।,business
मकैको बीउ गोदाममा थन्कियो,मकवानपुरको एक कृषि सहकारीले उत्पादन गरेको मकैको बीउ बिक्री नभएर गोदाममा थन्किएको छ । गुप्तेश्वरी कृषि सहकारीमा आबद्ध कृषकहरूले उत्पादन गरेको मकैको मूलबीउ र बिक्री नभएर गोदाममा थन्किएको हो ।,business
मृगौला पीडितलाई सघाए स्रष्टा–कलाकारले,सोलुखुम्बु काँकुका मृगौला पीडित मदन तामाङलाई स्रष्टा–कलाकारले सघाएका छन् । एक महिनाअघि मृगौला प्रत्यारोपण गरी आराम गरिरहेका पाख्रिनलाई कवि बिना थिङ र अभिनेत्री शान्ति वाइबाले ३० हजार रुपैयाँ हस्तान्तरण गरेका हुन् । ,entertainment
पश्चिम सेतीबारे ‘निर्णायक’ वार्ता,लामो समयदेखि चर्चामा रहेर पनि निर्माण सुरु हुन नसकेको पश्चिम सेती जलविद्युत् आयोजना बनाउने जिम्मा पाएको चाइना थ्री गर्जेज इन्टरनेसनल कर्पोरेसनको उच्चस्तरीय टोलीले मंगलबारदेखि नेपाली पक्षसँग वार्ता गर्दै छ ।,business
शेर्पाको नेतृत्वमा एन्फा,नेपाली फुटबलमा शुद्धीकरण अभियानको नेतृत्व गर्दा ५ वर्षयता विद्रोहीको पहिचान बनाएका कर्माछिरिङ शेर्पा अखिल नेपाल फुटबल संघ (एन्फा) को अध्यक्षमा निर्वाचित भएका छन् ।,sports
सरस्वतीलाई वाग्मती गोल्डकप,सरस्वती युवा क्लब काठमाडौंले दोस्रो राष्ट्रिय वाग्मती गोल्डकप फुटबल प्रतियोगिताको उपाधि जितेको छ ।,sports
"एपीएफले खेल जित्यो, रिस्सोले मन",फिँजिएर खेल्ने खेलाडी । अनुशासन उस्तै । १७–२१ वर्षे जापानी खेलाडीको खेलकौशल देखेर पोखराका भेट्रान फुटबलर आनन्द रन्जित लोभिए । नेपाल पुलिस क्लबसँग क्वाटरफाइनल खेल हेरेपछि उनले जापानको रिस्सो युनिभर्सिटीको टिम फाइनल पुग्ने अड्कल काटे ।,sports
करण केसीलाई बागलुङमा सम्मान,नेपाली क्रिकेट टिमका सदस्य करण केसीलाई गृह जिल्लामा स्वागत र सम्मान गरिएको छ ।,sports
रेग्गे संगीत अब विश्वसम्पदा,"जमाइकन गीतकार टुट्स हिबर्टका शब्दमा गायक मेटल्सले सन् १९६० को दशकमा पहिलो पटक गाएका थिए– ‘डु द रेग्गे !’ यही रेग्गे शब्द पछि विश्व संगीतमा शक्तिशाली विधाका रूपमा चर्चित भयो, सयौं रेग्गे शैलीका गीतहरू गाइए ।",entertainment
सरस्वती र धनबहादुरलाई अवार्ड,एपीएफकी सरस्वती चौधरी र त्रिभुवन आर्मी क्लबका धनबहादुर भट्ट प्लेयर अफ द इयर अवार्डबाट सम्मानित भएका छन् । ,sports
पुलिस र फोनिक्स विजयी,जनकपुरमा जारी तेस्रो दीपक गुप्ता स्मृति क्रिकेटमा शनिबार विभागीय टोली नेपाल पुलिस क्लब र भारत असमको फोनिक्स क्रिकेट क्लब विजयी भएका छन् ।,sports
नयाँ युगका संवाहक,राष्ट्रिय खेलकुद परिषद् (राखेप) को ‘अधीन’ मा अखिल नेपाल फुटबल संघ (एन्फा) चलिरहेको थियो । राखेपले चाहेजस्तै एन्फा नेतृत्व फेरिन्थ्यो । राखेपले रुक्मशमशेर राणालाई हटाएर २०५१ साल चैतमा गणेश थापालाई अध्यक्ष बनाएको थियो । त्यसपछि थापाले एन्फालाई राखेपको हस्तक्षेप गर्ने चलनबाट मुक्त गरिदिए तर आफैंले राज गरे ।,sports
चामलमा भन्सार बढाउन गृहकार्य,सरकारले मसिनो र बास्नादार चामलको भन्सार महसुल बढाउने गृहकार्य सुरु गरेको छ । दुई तिहाइ जनसंख्या आश्रित कृषिप्रधान मुलुकमा वार्षिक २३ अर्ब रुपैयाँ हाराहारीको चामल आयात हुन थालेपछि कृषि मन्त्रालयले महसुल बढाउने प्रक्रिया अघि बढाएको हो ।,business
विशाल गोल्डकप फुटबल : आर्मी उपाधि रक्षातिर,त्रिभुवन आर्मी क्लबले यहाँ भइरहेको दोस्रो विशाल गोल्डकप फुटबलको दोस्रो सेमिफाइनलमा बिहीबार झापा ११ लाई ६–१ ले पराजित गर्दै उपाधि नजिक पुगेको छ । शनिबार हुने फाइनलमा साबिक विजेता आर्मीले ए डिभिजन प्रतिद्वन्द्वी हिमालयन शेर्पा क्लबसँग खेल्नेछ । ,sports
आईपीएलमा सन्दीप लामिछाने - कसले के भने ?,फ्रेन्चाइज टोली दिल्लीले २० लाख भारूमा सन्दीपलाई लिएसँगै उनी आईपीएल खेल्ने पहिलो नेपाली भएका छन् । बधाईको पात्र बनेका सन्दीपलाई विभिन्न व्यक्तित्वबाट शुभकामना प्राप्त भइरहेको छ ।,sports
‘क्रिप्टोकरेन्सीमा नियमन अनिवार्य’,क्रिप्टोकरेन्सीका कारण अर्थतन्त्र जोखिममा पर्ने संकेत देखिएका भन्दै बैंक अफ इङ्ल्यान्डका गभर्नर मार्क कार्नीले यसलाई नियमन गर्नुपर्ने जरुरी भइसकेको बताएका छन् ।,business
"दसैंमा बढ्यो सुनको मूल्य, ६ वर्ष यताकै उच्च",दसैंमा सुनको मूल्य उकालो लागेको छ । निरन्तर बढिरहेको सुनको मूल्य स्थानीय बजारमा सोमबार प्रतितोला ६० हजार रुपैयाँ कायम भएको छ । नेपाल सुनचाँदी व्यवसायी महासंघका अनुसार यो मुल्य ६ वर्षयताकै उच्च हो ।,business
देवी बन्ने धुन,"ठूलो श्रद्धाका साथ मानिसहरू उनका पाउ छुँदै भन्ने गर्छन्, ‘देवी मा, मलाई रक्षा गर्नुहोस् ।’ उनी साँच्चिकै देवी भइदिएकी भए, भक्तजनको हरेक मनोकामना पूरा गर्थिन् होला । ‘तर, के गर्नु, मान्छे न परेँ !’
अष्टमातृका नाच्ने लेमिना श्रेष्ठले भनिन्, ‘दिन त के सक्नु, उल्टै लाजले भुतुक्कै हुन्छु !’",entertainment
आत्मानन्द गोल्डकप मंसिर ८ देखि,किरात धार्मिक स्थल माङसेबुङमा आउँदो मंसिर ८ देखि आत्मानन्द लिङदेन गोल्डकप सुरु हुने भएको छ । ,sports
नेपाल आइडलबाट फुर्सद पाएकी विद्याको ‘हेल्लो हाई’ (भिडियोसहित),नेपाल आइडलमा टप १८ सम्मको यात्रा पूरा गरेर विश्राम पाएकी विद्या तिवारी नयाँ गीतसहित सांगीतिक क्षेत्रमा पुन: होमिएकी छन् । ‘हेल्लो हाई’ गीतमा उनी गायक गिरीष खतिवडासहित उपस्थित भएकी छन् ।,entertainment
‘ब्याजदरमा लडाइँ नगर’,बैंक तथा वित्तीय संस्थालाई ब्याजदरको अस्वस्थ प्रतिस्पर्धामा नलाग्न केन्द्रीय बैंकले निर्देशन दिएको छ । मंगलबार आकस्मिक रूपमा बैंकहरूलाई बालुवाटार डाकेर राष्ट्र बैंकले ब्याजदर बढाबढको लडाइँ नगर्न निर्देशन दिएको हो । ,business
धनगढी प्रिमियर लिग माघ १९ देखि,तेस्रो संस्करणको धनगढी प्रमियर लिग (डिपीएल) आगामी माघ १९ गतेदेखि हुने भएको छ । आयोजक धनगढी क्रिकेट एकेडेमी (डिसिए) ले शुक्रबार पत्रकार सम्मेलन गर्दै प्रतियोगिता आगामी माघ १९ देखि फागुन ४ गतेसम्म आयोजना गर्ने जानकारी दिएको हो ।,sports
साेनम कपुरले गरिन् विहे,दिल्लीका चर्चित व्यापारी आनन्द अहुजासँग बलिउड अभिनेत्री सोनम कपुर विवाह बन्धनमा बाँधिएकी छन् । ,entertainment
कता छन् कमेडियन गायक ?,"नेपाली हास्य (कमेडियन) गीतको क्षेत्रमा ‘सुका माना घ्यू’ बोलको एल्बमले प्रकाश ओझा सुरुमा लोकप्रिय भए । उनको ‘भत्काइदिन्छु बाख्राको खोर पनि..’ अत्यधिक चर्चित भयो । तर यौनदुराचार, मानव बेचबिखन, ओसारपसारलगायतका काण्डले लामो समय उनको नयाँ सिर्जना आउन सकेन । ",entertainment
च्यारिटी डिनरमा मिसेस सुन्दरी,मिसेस नेपाल यूके २०१७ विजेताहरूले आइतबार साँझ लन्डनमा एक च्यारिटी डिनर गरे ।,entertainment
ऋण काढेर घर चलाउनु परेको छ : उखु किसान,पश्चिम नवलपरासीका उखु किसानलाई चिनी उद्योगले ४५ करोड रुपैयाँ भुक्तानी गर्न बाँकी छ । लामो समयदेखि स्थानीय तहदेखि केन्द्रसम्म संघर्ष गरे पनि उनीहरूले बक्यौता रकम पाएका छैनन् ।,business
आर्यन र सलोनी विजेता,आर्यन गिरी र सलोनी तामाङ (दुवै तस्बिरमा) शनिबार प्रथम आईएमई/जेटीआई ग्रान्ड जुनियर ओपन टेनिसको यू–१४ सिंगल्समा च्याम्पियन भएका छन् ।,sports
नेपाल कठिन स्थितिमा,नेपालले विश्व क्रिकेट लिग डिभिजन २ मा आइतबार यूएईको सामना गर्दै छ । नामिबिया भइरहेको प्रतियोगितामा नेपाल र यूएई दुवैले एक खेल जितेका छन् भने एक खेलमा हार बेहोरेका छन् । ,sports
आर्सनल युरोपा लिगको सेमिफाइनलमा,ड्यानी वेलबेक र आरोन राम्जीको दोस्रो हाफको गोलको मद्दतले आर्सनलले सीएसकेए मस्कोलाई समग्रमा ६-३ ले हराउँदै युरोपा लिगको सेमिफाइनलमा स्थान पक्का गरेको छ । ,sports
मेलम्चीको काम सुरु गर्न अर्थ समितिकाे निर्देशन,संसद्को अर्थ समितिले मेलम्ची खानेपानीमा देखिएको अन्योल तत्काल अन्त्य गरी काम सुचारु गर्न खानेपानी तथा सरसफाइ मन्त्रालयलाई निर्देशन दिएको छ ।,business
उखुको भुक्तानी माग्दै ताला,"रामनगरस्थित एभरेस्ट चिनी मिलले उखुको भुक्तानी नदिएपछि यहाँका किसान आन्दोलनमा उत्रेका छन् । उनीहरूले तत्काल भुक्तानी गर्नुपर्ने एक सूत्रीय माग राख्दै मिलमा ताला लगाए । प्रशासनिक र वाणिज्य भवन, मिल हाउस र उखु विभागका कर्मचारीलाई बाहिर निकालेर तालाबन्दी गरेका हुन् ।",business
प्रदेश १ हुँदै निकासी बढी,मुलुकको निकासी व्यापारमा सबैभन्दा बढी हिस्सा प्रदेश १ स्थित भन्सार नाकाहरूले ओगट्ने गरेका छन् ।,business
रम्दै छ बनेपा,यतिबेला बनेपा कला र संगीतमय बनिरहेको छ । यहाँ जारी ‘बनेपा महोत्सव’ मा दैनिक राष्ट्रिय स्तरका कलाकारले प्रस्तुति दिइरहेका छन् । ,entertainment
पुलिस नवौंपल्ट फाइनलमा,पूर्व विजेताद्वय पुलिस र थ्रीस्टार क्लब १६ औं आहा–रारा गोल्डकप फुटबलको फाइनलमा भिड्ने भएका छन् । दुवैले समान चारपल्ट यो प्रतियोगिता जितेका छन् । पोखरा रंगशालामा बिहीबार धरान ११ लाई १–० को झिनो अन्तरले हराउँदै पुलिसले थ्रीस्टारसँगको भेट पक्का गरेको हो ।,sports
सरोज ओली र इन्दिरा जोशीको ‘आई लभ यु’ करोड क्लवमा ,"गीतकारसमेत रहेका संघीय मामिला तथा स्थानीय विकास सचिव दिनेश थपलियालाई गायक सरोज ओली र संगीतकार वसन्त सापकोटाले प्रस्ताव गरे– एउटा लभ सङ लेखिदिनुपर्‍यो ।

२ सयभन्दा बढी राष्ट्रिय र सामाजिक गीत लेखिसकेका थपलियाले सुरुमा प्रस्ताव स्वीकार्न हच्कचिए । ",entertainment
इंग्ल्यान्डको प्रतिस्पर्धात्मक स्कोर,साम क्युरानले ६ छक्का र जोस बटलरको आकर्षक ६३ रनको सहयोगमा इंग्ल्यान्डले माथिल्लो क्रमको ब्याटिङ धराशायी भए पनि श्रीलंकाविरुद्ध दोस्रो टेस्टको पहिलो इनिङ्समा बुधबार २ सय ८५ रन बनाएको छ ।,sports
साना किसानलाई ऋण पाउन कठिन,नेपालमा चियाखेती गर्नेहरूमा साना किसान बढी छन् । सरकारको प्राथमिकतामा भने ठूला किसान परेका छन् । उनीहरूले साना किसानको तुलनामा कम ब्याजदरमा ऋण पनि पाउँछन् ।,business
अन्तरविद्यालय बास्केटबल प्रतियोगितामा पुष्पसदन र रेडिअन्ट विजयी,सातौं इनोभेटिभ अन्तरविद्यालय बास्केटबल प्रतियोगिताको जुनियर ब्वाइजमा शनिबार पुष्पसदन र रेडिअन्टले जितेका छन् ।,sports
बाँसुरी संसार,कोही स्केलको नापअनुसार बाँसमा प्वाल पार्दै थिए त कोही प्वाल पारिसकेकोमा खाक्सी दल्दै । साँघुरो कोठामा एक बित्तादेखि झन्डै एक मिटरसम्मको बाँसुरी छरिएका थिए । खाक्सी लगाएर चिल्लो पारिएको बाँसुरीमा योगेन्द्र खड्का नाइलनको धागो बेर्नमै व्यस्त देखिन्थे । ,entertainment
‘सुन तस्करी सहिँदैन’,प्रधानमन्त्री केपी शर्मा ओलीले सुन तस्करलाई क्षमा नदिने बताएका छन् । नेपाल सुनचाँदी व्यवसायी महासंघको पाँचौं वार्षिक साधारणसभा उद्घाटन गर्दै उनले कानुनको मर्यादामा बस्न नचाहनेलाई कारबाही गर्ने बताए ।,business
सवा अर्बको सेयर कारोबार,सेयर बजारको कारोबारमा बुधबार तेजी आएको छ । यस दिन कारोबार रकममा उल्लेख्य सुधार आएको छ भने बजार परिसूचक पनि बढेको छ ।,business
‘हिटलर’ को फस्टलुक,‘हिटलर’ को फस्टलुक पोस्टर सोमबार सार्वजनिक भएको छ । जेठ १२ मा रिलिज गरिने फिल्म सौरभ ढकालले निर्देशन गरेका हुन् । ,entertainment
पूर्वी पहाडमा हवाई सेवा ठप्प,मोरङस्थित पथरी–शनिश्चरेका ३३ वर्षीय दुर्गा श्रेष्ठ विराटनगरदेखि काठमाडौंसम्म हतपत्ती हवाईजहाजमा यात्रा गर्दैनन् । अपर्झटमा जानै परे नेपाल वायु सेवा निगमको सस्तो दरकै टिकट रोज्छन् ।,business
रोहन ‘भ्वाइस अफ कपिलवस्तु’,रोहन गुप्ता ‘भ्वाइस अफ कपिलवस्तु’ बनेका छन् । सदरमुकाम तौलिहवामा आयोजित प्रतियोगिताको फाइनलमा यी १५ वर्षेले १२ हजार रुपैयाँ र मोबाइल पुरस्कारस्वरूप पाए । ,entertainment
कालीगण्डकी ‘ए’ को मर्मत सुरु,कालीगण्डकी ‘ए’ जलविद्युत् केन्द्रको विद्युत् गृहको मर्मत सुरु भएको छ । १४४ मेगावाटको यो आयोजना नेपाल विद्युत् प्राधिकरणको स्वामित्वमा छ ।,business
चैतेधान रोपाइँको चटारो,जिल्लाको पूर्वी क्षेत्रमा चैतेधान लगाउने चटारो सुरु भएको छ । उत्पादन पर्याप्त हुने भएपछि सिञ्चित क्षेत्रमा कृषक चैतेधान लगाउन लालायित भएका हुन् । जिल्ला कृषि विकास कार्यालयका प्राविधिक सहायक नोदनाथ लामिछानेका अनुसार पूर्वी चितवनको रत्ननगरदेखि पिप्लेसम्म राप्ती नजिकका क्षेत्रमा चैतेधान लगाउन सुरु गरिएको छ ।,business
पेन ड्राइभ कन्सर्ट !,"अधिकांश नेपाली गायकगायिका सांगीतिक प्रस्तुतिका लागि एक्लै स्टेजमा पुग्छन् । तिनका साथमा न वाद्यवादक हुन्छन्, न कुनै वाद्ययन्त्र । हुन्छ त केवल पेन ड्राइभ ! त्यो ड्राइभ प्राविधिकलाई थमाएपछि उनीहरू गाउन तम्तयार हुँदै भन्छन्, ‘ट्रयाक प्लिज ।’",entertainment
माथिल्लो तामाकोसीले अर्को वर्षबाट उत्पादन थाल्ने,माथिल्लो तामाकोसी जलविद्युत् आयोजनाले अर्को वर्ष कात्तिकमा उत्पादन थाल्ने भएको छ ।  यसअघि ४५६ मेगावाटको यो आयोजनाले यही आर्थिक वर्षमा उत्पादन थाल्ने म्याद तय गरिएको थियो  ।,business
बेतन कर्णालीको डीपीआर तयार हुँदै,कर्मचारी सञ्चय कोषले ६ सय ८८ मेगावाट क्षमताको बेतन कर्णाली जलविद्युत् आयोजनाको सम्भाव्यता र विस्तृत परियोजना प्रतिवेदन (डीपीआर) कार्य अघि बढाएको छ ।,business
चोखो माया दिए पुग्छ...,झापाको तापक्रम करिब ४० डिग्री नाघ्ने तरखरमा थियो । बिर्तामोडमा सोमबार बिहानको कुरो हो यो । यस्तो प्रचण्ड गर्मीमा पनि गायक कमल खत्री र माण्डवी त्रिपाठीमा गाउने उत्साह घटेको थिएन ।,entertainment
टेलिकमको अस्वस्थ प्रतिस्पर्धा रोक्न उपकरण किनिँदै,टेलिकम कम्पनीले आपसी नेटवर्कमा हुने फोनमा अवरोध गरेर अस्वस्थ प्रतिस्पर्धा गरिरहेका कम्पनीका गतिविधि रोक्न नियामक निकाय नेपाल दूरसञ्चार प्राधिकरणले उपकरण किन्ने भएको छ ।,business
चन्दाको ‘वाचा’ ,"गायिका चन्दा देवान नयाँपुराना गीतहरूको एल्बमसहित आएकी छन् । ‘वाचा’ उनको छैटौँ एल्बम हो, जसमा छ वटा गीत छन् : ‘चारैतिर...’, ‘रम्दै छ...’, ‘छानो हाल्ने...’, ‘भोलि भोलि...’, ‘यो मनमा...’ र ‘तिमी शिखर...’ ।",entertainment
भुजेल संस्कृतिमा फिल्म,आदिवासी जनजातिमा सूचीकृत भुजेल समुदायको संस्कृति फिल्ममा समेटिने भएको छ । भुजेल समाज सेवा समितिको सक्रियतामा ‘नि–प्हुँगाल’ (हामी भुजेल) बन्ने भएको हो ।,entertainment
रिजु भइन् “मिस नेवा:”,१६ प्रतिस्पर्धीलाई पछि पार्दै काठमाडौंकी रिजु मानन्धरले ‘मिस नेवा:’ को १३ औं संस्करण जितेकी छन् । पब्लिक च्वाइस अवार्डसमेत जितेकी उनले ताजसहित २० हजार रुपैयाँ पाइन् ।,entertainment
‘जोवन त एलपीजी सिलिण्डर’मा ज्योति मगर (भिडियोसहित),लोक गायिका एवं मोडल ज्योति मगर वरिष्ठ गीतकार राजेन्द्र थापाको गीत ‘जोवन त एलपीजी सिलिण्डर’मा प्रस्तुत भएकी छन् । ,entertainment
तीन मुलुकमा “दुई थोपा हाँसो”,"संयुक्त अरब इमिरेट्स् (यूएई), बहराइन र ओमनमा ‘दुई थोपा हाँसो’ प्रस्तुति दिएर सिस्नुपानी नेपालको कलाकार/साहित्यकार टोली मुलुक फिरेको छ । गत माघ १८ गते यूएईबाट सुरु यात्रा सोमबार मस्कटमा समापन भएको सिस्नुपानीका अध्यक्ष लक्ष्मण गाम्नागेले जनाए ।",entertainment
मलेसियामा नेपाली म्युजिक भिडियो अवार्ड हुँदै,संगिक्षा फिल्म्सले देशबाहिर गर्दै आएको नेपाली म्युजिक भिडियो अवार्डको तेस्रो संस्करण यस पालि मलेसियामा गर्ने भएको छ ।,entertainment
"डीपीएल क्रिकेटः वर्षाले खेल रद्द, महेन्द्रनगर प्ले अफमा",रुस्लान धनगढी प्रिमियर लिग क्रिकेट प्रतियोगिताको शनिबार महेन्द्रनगर युनाइटेड र सीवाईसी अत्तरियाबीचको खेल रद्द भएको छ । गएरातिदेखिको हावाहुरी र वर्षाका कारण संघीय प्रहरी इकाइ कार्यालयको मैदानको अस्थायी संरचना प्रभावित हुन पुगेको थियो ।,sports
रोमाञ्चक प्रतिस्पर्धा सुरु,"रोमाञ्चक प्रतिस्पर्धासँगै गोकर्ण गल्फ क्लबमा सूर्य नेपाल एनपीजीए टुर च्याम्पियनसिप सुरु भएको छ । डिफेन्डिङ च्याम्पियन शिवराम श्रेष्ठ, रमेश नगरकोटी र रवि खड्काले पहिलो दिन सोमबार समान दुई अन्डर ७० स्कोर गरे ।",sports
प्रिया र उमेशले जिते उपाधि,खोटाङकी प्रिया राई र भोजपुर आमचोक गाउँपालिकाका उमेश राईले शनिबार चौथो भोजपुर ट्रेल रेसको उपाधि जितेका छन् । पौवादुङ्मा गाउँपालिकास्थित सानोदुङ्मा माविबाट सुरु भएको ३६ किलोमिटरको ट्रेल रेस सदरमुकामस्थित सहिदपार्कमा टुंगिएको थियो ।,sports
जलाशययुक्त आयोजना प्राथमिकतामा,"नेपाल विद्युत् प्राधिकण आफूले अब पानीको बहावका आधारमा बिजुली निस्कने (आरओआर) आयोजनामा लगानी नगर्ने भएको छ । मुलुकको दीर्घकालीन माग र आपूर्तिको आधारमा विद्युत् उत्पादन, प्रसारण र वितरणको जिम्मा पाएको प्राधिकरणले जलाशययुक्त आयोजनालाई प्राथमिकतामा राखेको हो ।",business
नेपाल र भुटान तेस्रो स्थानको लागि खेल्दै,भुटानमा जारी साफ यू -१५ गर्ल्स च्याम्पियनसिपको तेस्रो स्थानको खेलमा शनिबार नेपाल र भुटान भिड्दैछन् ।,sports
