,Words,Frequency
311,लिएको,132
312,वितरण,132
313,पछि,132
314,काठमाडौं,132
315,बताएका,131
316,आधारमा,131
317,सकिने,131
318,निर्वाचन,130
319,पानी,130
320,दैनिक,130
321,सुरक्षा,130
322,गठबन्धन,129
323,देखि,129
324,मुख्य,129
325,विशेष,128
326,पक्राउ,127
327,७,127
328,प्रस्ताव,127
329,बढेको,127
330,गरिरहेको,127
331,बस्ने,127
332,उपचार,126
333,प्रदान,125
334,के,125
335,सामान्य,125
336,गठन,124
337,बन्द,124
338,देशको,124
339,कार्य,123
340,लामो,123
341,मन्त्रालयले,122
342,ओली,121
343,१३,120
344,९,120
345,नहुने,120
346,समितिको,119
347,नसकेको,119
348,यी,119
349,आयोजना,118
350,१४,118
351,व्यक्ति,118
352,संघीय,118
353,लकडाउन,118
354,प्रस्तुत,117
355,सम्झौता,117
356,दल,116
357,सात,116
358,गम्भीर,116
359,एमाले,116
360,लिएर,116
361,प्रवक्ता,116
362,राष्ट्र,115
363,सफल,115
364,दाबी,115
365,माओवादी,115
366,सहभागी,115
367,नेपालले,114
368,राम्रो,114
369,सकेको,113
370,परेका,113
371,व्यवस्थापन,113
372,प्रवेश,113
373,सूचना,113
374,स्थायी,112
375,पारित,112
376,अस्पताल,112
377,दिएका,112
378,बताइएको,112
379,रहने,111
380,उनलाई,111
381,लिन,111
382,बिहान,111
383,सोमबार,110
384,भारतीय,110
385,पुनः,110
386,अर्थ,110
387,अन्तर्राष्ट्रिय,110
388,१८,110
389,निजी,109
390,महिला,109
391,देश,109
392,त्यसको,109
393,बारेमा,108
394,प्रश्न,108
395,२२,108
396,संसदीय,108
397,दर्ता,108
398,पत्रकार,107
399,गरेपछि,106
400,आफ्ना,106
401,हामी,106
402,तत्कालीन,106
403,२४,106
404,निर्देशन,105
405,शिक्षा,105
406,कार्यालयले,104
407,।’,104
408,सम्भावना,103
409,बनाएको,103
410,अधिकार,103
411,लगानी,103
412,बजार,102
413,अनुसन्धान,101
414,नाम,101
415,सकिन्छ,101
416,वैशाख,101
417,पूर्ण,101
418,बिहीबार,101
419,ऐन,101
420,पैसा,100
421,निकै,100
422,दुवै,100
423,तेस्रो,100
424,बेरुजु,100
425,त्यसैले,99
426,क्षेत्रको,99
427,पार्टीका,99
428,केपी,99
429,आफू,98
430,हामीले,98
431,१९,98
432,पुष्टि,98
433,अझै,98
434,ऋण,98
435,ठाउँमा,97
436,२०७९,97
437,जुन,97
438,प्रेस,97
439,थालेको,97
440,आन्तरिक,97
441,बताउँछन्,97
442,बिक्री,97
443,नियन्त्रणमा,96
444,सामग्री,96
445,विरोध,95
446,६०,95
447,सुझाव,95
448,श्रेष्ठले,94
449,प्रभावित,94
450,धान,94
451,अर्थात्,94
452,ल्याउने,93
453,१६,93
454,गराउन,93
455,वृद्धि,93
456,वन,93
457,संवैधानिक,93
458,निर्वाचनमा,92
459,जोड,92
460,चिनियाँ,92
461,सचिव,92
462,खेलमा,91
463,व्यक्त,91
464,मंगलबार,91
465,कानुन,91
466,वरिष्ठ,91
467,२१,91
468,उहाँ,91
469,२७,90
470,छैनन्,90
471,फिर्ता,90
472,भुक्तानी,90
473,प्रयास,90
474,अध्ययन,90
475,भनेको,90
476,जनाइएको,89
477,केन्द्र,89
478,दाहाल,89
479,सम्बन्धित,89
480,कम्पनीले,89
481,भारत,89
482,बनाएर,89
483,सभापति,89
484,अधिकृत,89
485,पर्यटन,88
486,यसले,88
487,यादव,88
488,सिर्जना,88
489,मैले,88
490,बजारमा,88
491,म,88
492,महत्वपूर्ण,88
493,निर्देशक,87
494,गुनासो,87
495,१७,87
496,अवसरमा,87
497,तत्काल,87
498,गण्डकी,87
499,हुनुपर्ने,86
500,भूमिका,86
501,भई,86
502,सभामुख,86
503,अमेरिकी,86
504,सम्मान,86
505,कार्यान्वयन,85
506,अवधिमा,84
507,धारणा,84
508,बैंक,84
509,दिनमा,84
510,नियमित,83
511,गरिरहेका,83
512,हरेक,83
513,शर्माले,83
514,यसैगरी,83
515,नेतृत्व,83
516,पूर्व,82
517,नेपालका,82
518,अस्पतालमा,82
519,छ।,82
520,समितिले,82
521,भइसकेको,82
522,बाहिर,82
523,आइतबार,82
524,कसरी,81
525,पक्षमा,81
526,जनसंख्या,81
527,दिँदै,81
528,४०,81
529,पूर्वाधार,81
530,ध्यान,81
531,अहिलेसम्म,81
532,शुक्रबार,81
533,प्रतिवेदनमा,81
534,रन,81
535,प्रदेशको,80
536,नियन्त्रण,80
537,यसलाई,80
538,बन्न,80
539,अनुदान,80
540,ल्याएको,80
541,जिल्लामा,80
542,सहज,80
543,संघ,80
544,समितिका,80
545,२८,80
546,चलचित्र,80
547,त्यसपछि,79
548,स्पष्ट,79
549,खर्ब,79
550,विदेशी,79
551,जस्तो,79
552,त्यही,78
553,वर्षमा,78
554,राख्ने,78
555,यस्ता,78
556,विदेश,77
557,हुनुहुन्छ,77
558,क्वारेन्टाइनमा,77
559,नागरिक,77
560,नाममा,77
561,वर्तमान,77
562,मत,77
563,अन्तिम,77
564,पाउने,77
565,अघिल्लो,76
566,पौडेलले,76
567,न्याय,76
568,कुल,76
569,दिइएको,76
570,सञ्चालनमा,76
571,शेरबहादुर,76
572,लिने,76
573,आठ,76
574,सर्वोच्च,76
575,ले,75
576,शनिबार,75
577,हालसम्म,75
578,कार्यकारी,75
579,पुग्ने,75
580,उपाध्यक्ष,75
581,गुरु,75
582,यसरी,75
583,अहिलेको,75
584,सहमति,75
585,महिना,75
586,हुँदैन,74
587,समाजवादी,74
588,सचिवालय,74
589,विश्वास,74
590,बैंकले,74
591,क्षेत्रका,74
592,बाटो,74
593,लगायतका,73
594,अभाव,73
595,विभाग,73
596,स्थापना,73
597,देशमा,73
598,जग्गा,73
599,२३,73
600,प्रक्रिया,73
601,हुनु,72
602,राखिएको,72
603,अधिकारीले,72
604,समन्वय,72
605,कर्णाली,72
606,विकेट,72
607,भट्टराई,72
608,समाधान,72
609,विवाद,71
610,फेरि,71
611,विश्व,71
612,स्वर्ण,71
613,मुद्दा,71
614,गराएको,71
615,काममा,71
616,बराबरको,71
617,२६,71
618,राखेर,70
619,बजे,70
620,जनता,70
621,आफूलाई,70
622,ओलीको,70
623,दिउँसो,70
624,प्रतिशतले,70
625,महिनामा,70
626,घटना,70
627,वित्तीय,70
628,ल्याउन,70
629,खेल,69
630,मिटर,69
631,अनुमान,69
632,देउवा,69
633,गराउने,69
634,प्रतिवेदन,69
635,देउवाले,69
636,राखेको,69
637,भाइरसको,69
638,जस्ता,69
639,मुख्यमन्त्री,69
640,भनिएको,68
641,आफ्नै,68
642,तरकारी,68
643,प्रदर्शन,68
644,कमिटी,68
645,कार्यालयका,68
646,आफूले,68
647,सरकारलाई,68
648,फेला,68
649,अधिकांश,67
650,नम्बर,67
651,मेरो,67
652,जनताको,67
653,खेती,67
654,घरमा,67
655,बताउनुभएको,67
656,दलका,67
657,संयुक्त,67
658,खोप,67
659,एमालेका,67
660,साना,67
661,सङ्क्रमण,67
662,खेलकुद,66
663,कर्जा,66
664,सक्छ,66
665,थापा,66
666,पुष्पकमल,66
667,२९,66
668,बैंकको,66
669,ज्ञान,66
670,दिनुभएको,66
671,पद,66
672,जोखिम,66
673,तय,66
674,लकडाउनको,65
675,कतिपय,65
676,मन्त्रालयको,65
677,सरकारका,65
678,तर्फबाट,65
679,योगदान,65
680,त्यसैगरी,65
681,गीत,65
682,छानबिन,64
683,नगरपालिकाले,64
684,थाहा,64
685,आवश्यकता,64
686,जान,64
687,हात,64
688,३१,64
689,२०७८,64
690,पेश,64
691,पहिले,64
692,नगरपालिका,64
693,नरहेको,64
694,भारतको,64
695,संस्था,63
696,त्यहाँ,63
697,उम्मेदवार,63
698,संलग्न,63
699,लकडाउनका,63
700,जिम्मेवारी,63
701,रोजगारी,63
702,चालु,63
703,निरन्तरता,63
704,प्रभाव,63
705,व्यक्तिको,63
706,भएपनि,62
707,कांग्रेस,62
708,रजत,62
709,पदार्थ,62
710,अर्का,62
711,सुरक्षित,62
712,गर्दछ,62
713,सुधार,62
714,निरन्तर,62
715,सम्बन्धमा,62
716,गुरुङ,61
717,युवा,61
718,गर्छ,61
719,नेतृत्वको,61
720,बैंकका,61
721,नसक्ने,61
722,उनीहरुको,61
723,भट्टराईले,61
724,किसान,61
725,प्रदेशमा,61
726,जीवन,61
727,नगर्ने,61
728,यता,61
729,थिएन,61
730,बढाउन,61
731,उनीहरुले,61
732,सम्बोधन,61
733,पाएको,61
734,मानिस,61
735,एमालेले,60
736,कोइराला,60
737,नियुक्त,60
738,चैत,60
739,यसका,60
740,त्यस,60
741,परिवर्तन,60
742,बताउँदै,60
743,दिनुपर्ने,60
744,बढ्ने,60
745,ध्यानाकर्षण,59
746,अध्यादेश,59
747,निर्माणको,59
748,बढ्न,59
749,नदी,59
750,अनि,59
751,घाइते,59
752,राख्न,59
753,कोरोनाको,59
754,प्रदेशसभा,59
755,पोखरेलले,59
756,संकट,59
757,माथि,59
758,मलाई,59
759,लुम्बिनी,59
760,जेठ,59
761,त्यसलाई,59
762,अरु,59
763,उपरीक्षक,58
764,समाचार,58
765,चुनाव,58
766,पुरस्कार,58
767,लक्ष्य,58
768,अर्थतन्त्र,58
769,पक्षले,58
770,कर्मचारी,58
771,भवन,58
772,कूल,58
773,यहाँ,58
774,अफ,57
775,यसै,57
776,दर,57
777,कार्यालयमा,57
778,व्यावसायिक,57
779,३२,57
780,पुल,57
781,कमजोर,57
782,मानव,57
783,राज्य,57
784,दिएर,57
785,किलोमिटर,57
786,मुलुकको,57
787,होटल,56
788,केन्द्रका,56
789,कारणले,56
790,असर,56
791,सेयर,56
792,पुगेका,56
793,एकीकृत,56
794,बाध्य,56
795,समयमै,56
796,प्रत्येक,56
797,सबैको,56
798,जनामा,56
799,आउन,56
800,थापाले,56
801,कारबाही,56
802,वैदेशिक,56
803,भौतिक,55
804,तह,55
805,क्षति,55
806,आयात,55
807,संक्रमितको,55
808,आजको,55
809,बिरामी,55
810,गलत,55
811,जनालाई,55
812,विगत,55
813,पारेको,55
814,जवाफ,55
815,यातायात,55
816,टोली,55
817,उनका,54
818,नगद,54
819,दक्षिण,54
820,बलियो,54
821,अझ,54
822,निर्वाचित,54
823,सिंह,54
824,राति,54
825,सम्बन्ध,54
826,सवारी,54
827,जस्तै,54
828,दलको,54
829,जसले,54
830,तहको,54
831,झण्डै,54
832,संकलन,54
833,बहुमत,54
834,अर्थमन्त्री,53
835,गरिन्छ,53
836,यादवले,53
837,देशभर,53
838,थोरै,53
839,नेपाललाई,53
840,चुनावमा,53
841,प्रतिनिधि,53
842,बागमती,53
843,रहेकाले,53
844,मौद्रिक,53
845,देशका,53
846,३५,53
847,पास,53
848,थिइन्,53
849,चरणमा,53
850,भनी,53
851,३४,53
852,त्यसमा,52
853,संसद,52
854,प्राविधिक,52
855,व्यक्तिले,52
856,उनीहरुलाई,52
857,गर्नका,52
858,शुरु,52
859,अंक,52
860,गोली,52
861,निर्यात,52
862,संविधान,52
863,जनाएका,52
864,निर्माणमा,52
865,पदाधिकारी,51
866,फिल्म,51
867,जम्मा,51
868,सडकमा,51
869,जिल्लाको,51
870,टोलीले,51
871,बढाउने,51
872,कोभिड१९,51
873,सीमा,51
874,बस्न,51
875,गाउँपालिका,51
876,साउन,51
877,स्थानहरूमा,51
878,भण्डारीले,51
879,उपस्थित,51
880,नौ,51
881,आधार,51
882,उपचारका,51
883,राखेका,50
884,पार्न,50
885,असारमा,50
886,औषधि,50
887,८०,50
888,नं,50
889,समग्र,50
890,डलर,50
891,गर्छन्,50
892,विज्ञान,50
893,नगरी,50
894,केसीले,50
895,विद्युत्,50
896,लाग्ने,50
897,भ्रमण,50
898,नगरेको,50
899,३३,49
900,चर्चा,49
901,तहमा,49
902,विसं,49
903,पराजित,49
904,प्रविधि,49
905,बन्ने,49
906,भारतमा,49
907,प्रतिनिधिसभा,49
908,फरक,49
909,लगाएको,49
910,जरुरी,49
911,सम्म,49
912,संघले,49
913,लगाइएको,49
914,ठूला,49
915,जिल्लाका,49
916,३६,49
917,उनीहरु,49
918,काठमाडौंमा,48
919,जाँदा,48
920,बस,48
921,मन्त्रालय,48
922,२०७६,48
923,कारोबार,48
924,व्यक्तिलाई,48
925,प्रतिनिधिसभाको,48
926,प्रधानमन्त्रीको,48
927,विचार,48
928,तोकिएको,48
929,बढ्दै,48
930,विस्तार,48
931,त्यस्तो,48
932,बताएको,48
933,यद्यपि,48
934,गाउँपालिकाले,48
935,वातावरण,47
936,खानेपानी,47
937,भण्डारी,47
938,४१,47
939,खेलाडी,47
940,जसमा,47
941,विवरण,47
942,नगरपालिकाका,47
943,समितिमा,47
944,स्वदेश,47
945,सामना,47
946,सुदूरपश्चिम,47
947,कार्यरत,47
948,गठबन्धनको,47
949,विनियोजन,47
950,अत्यावश्यक,47
951,घटेको,47
952,सभामा,47
953,निर्माणका,47
954,शीर्ष,47
955,बलमा,47
956,आलोचना,47
957,पर्याप्त,47
958,लगाउने,47
959,भन्न,47
960,। ,46
961,सत्ता,46
962,पार्टीलाई,46
963,किन,46
964,व्यवसाय,46
965,प्रभावकारी,46
966,हुन्छन्,46
967,लाई,46
968,सशस्त्र,46
969,पक्ष,46
970,समूह,46
971,मुलुक,46
972,भत्ता,46
973,मध्ये,46
974,शक्ति,46
975,परियोजना,46
976,छु,46
977,खाना,46
978,घण्टा,46
979,टिम,46
980,आएर,46
981,प्रकाश,46
982,सकारात्मक,45
983,एमालेको,45
984,विवाह,45
985,ओभरमा,45
986,प्रहार,45
987,पर्न,45
988,लागू,45
989,बिजुली,45
990,पार्टीमा,45
991,व्यवसायी,45
992,हतियार,45
993,हुनसक्ने,45
994,निकाय,45
995,७०,45
996,औपचारिक,45
997,विद्यालय,45
998,थालिएको,45
999,पहाडी,45
1000,नहुँदा,45
1001,छलफलमा,45
1002,वर्षाको,45
1003,गोल,45
1004,उपाधि,45
1005,शान्ति,45
1006,गर्‍यो,45
1007,कार्की,45
1008,५५,45
1009,अलपत्र,45
1010,श्रम,44
1011,रोक्न,44
1012,उहाँका,44
1013,उजुरी,44
1014,सञ्चालक,44
1015,सुविधा,44
1016,पहल,44
1017,उत्पन्न,44
1018,वार्षिक,44
1019,गौतम,44
1020,न,44
1021,कमी,44
1022,कर,44
1023,जिम्मा,44
1024,स्थान,44
1025,पाइएको,44
1026,हासिल,44
1027,गौतमलाई,44
1028,निश्चित,44
1029,साढे,44
1030,समावेश,44
1031,खाद्यान्न,44
1032,पार्टीले,43
1033,५७,43
1034,निको,43
1035,लोकतान्त्रिक,43
1036,दूरी,43
1037,लागेका,43
1038,पुराना,43
1039,व्यापार,43
1040,आयोजित,43
1041,डिभिजन,43
1042,उडान,43
1043,चासो,43
1044,धार्मिक,43
1045,गोटाबाया,43
1046,प्राथमिकता,43
1047,बोल्दै,43
1048,हस्ताक्षर,43
1049,गाउँपालिकाका,43
1050,प्रहरीको,43
1051,संयोजक,43
1052,गएका,43
1053,क्षमता,43
1054,लेखा,43
1055,सहभागिता,43
1056,मिनेट,43
1057,बताउनुहुन्छ,43
1058,पार्ने,43
1059,कास्य,43
1060,उपसभामुख,43
1061,अभिनय,43
1062,हुनुभएको,43
1063,प्रतिपक्ष,43
1064,जनतालाई,43
1065,संरक्षण,43
1066,देखिएका,42
1067,सालमा,42
1068,पत्र,42
1069,बजेटमा,42
1070,महाप्रसाद,42
1071,मुलुकमा,42
1072,रोग,42
1073,सबैलाई,42
1074,मन्त्रालयका,42
1075,गरिएका,42
1076,संसदमा,42
1077,आपूर्ति,42
1078,उपस्थिति,42
1079,भेट,42
1080,उचित,42
1081,बसेर,42
1082,एकता,42
1083,४५,42
1084,प्रतियोगितामा,42
1085,या,42
1086,बनेका,42
1087,सडकको,42
1088,आयोग,42
1089,भाग,42
1090,प्रशासन,41
1091,गुरुङले,41
1092,कम्पनी,41
1093,समीक्षा,41
1094,ठेक्का,41
1095,होला,41
1096,महामारीका,41
1097,सम्बन्धी,41
1098,पदमा,41
1099,हुनुभयो,41
1100,बसेका,41
1101,शैक्षिक,41
1102,गृहमन्त्री,41
1103,चीन,41
1104,नम्बरको,41
1105,विभागले,41
1106,छौँ,41
1107,नारायण,41
1108,व्यक्तिगत,41
1109,आह्वान,41
1110,नागरिकलाई,41
1111,नेतृत्वमा,40
1112,स्वाब,40
1113,बाट,40
1114,पाउन,40
1115,हिजो,40
1116,स्थगित,40
1117,पहिचान,40
1118,अदालतले,40
1119,पौडेल,40
1120,आदेश,40
1121,हस्तान्तरण,40
1122,४९,40
1123,५१,40
1124,गएर,40
1125,१००,40
1126,चलचित्रको,40
1127,वर्षसम्म,40
1128,नेपालीको,40
1129,क्लब,40
1130,बस्नेत,40
1131,पेस,40
1132,सामुदायिक,40
1133,मन,40
1134,मध्यम,40
1135,जनताले,40
1136,लगायत,40
1137,कम्पनीको,40
1138,विद्यार्थी,40
1139,संस्थाको,40
1140,राजनीतिमा,39
1141,निर्धारण,39
1142,तथ्यांक,39
1143,विज्ञप्तिमा,39
1144,मापदण्ड,39
1145,संगीत,39
1146,सहकार्य,39
1147,साँझ,39
1148,मामिला,39
1149,अस्वीकार,39
1150,कस्तो,39
1151,पर्छ,39
1152,सम्भव,39
1153,महासचिव,39
1154,आयो,39
1155,सञ्चार,39
1156,कोइरालाले,39
1157,आएपछि,39
1158,चयन,39
1159,बनाइएको,39
1160,कार्कीले,39
1161,थालेका,38
1162,रोकिएको,38
1163,थान,38
1164,सक्रिय,38
1165,मिलेर,38
1166,दिनु,38
1167,यसैबीच,38
1168,जति,38
1169,भुसाल,38
1170,भिडियो,38
1171,परिचालन,38
1172,निःशुल्क,38
1173,चिन्ता,38
1174,हामीलाई,38
1175,सङ्ख्या,38
1176,५४,38
1177,कुमार,38
1178,कांग्रेसका,38
1179,केसी,38
1180,विश्वव्यापी,38
1181,श्रीलंकाको,38
1182,प्रतियोगिता,38
1183,सर्वाधिक,38
1184,गर्नुपर्छ,38
1185,पाइन्छ,38
1186,रहनुभएको,37
1187,क्षेत्रलाई,37
1188,मे,37
1189,मानिन्छ,37
1190,समान,37
1191,बैठकको,37
1192,५९,37
1193,तुलनामा,37
1194,एकै,37
1195,बीचमा,37
1196,तीव्र,37
1197,उम्मेदवारी,37
1198,अन्त्य,37
1199,अरू,37
1200,लिग,37
1201,कुरामा,37
1202,एम,37
1203,भेटवार्ता,37
1204,कोष,37
1205,राजापाक्षे,37
1206,इलाका,37
1207,त्यसो,37
1208,सहकारी,37
1209,सामान,37
1210,आयोगले,37
1211,नायब,37
1212,लिएका,37
1213,चौधरी,36
1214,६५,36
1215,जो,36
1216,नदीको,36
1217,हेर्दा,36
1218,नियुक्ति,36
1219,५२,36
1220,प्रशिक्षण,36
1221,त्यसले,36
1222,गाडी,36
1223,उपचारको,36
1224,नगरपालिकाको,36
1225,शाखा,36
1226,बढाएको,36
1227,पालना,36
1228,पक्षको,36
1229,साझा,36
1230,लगाएर,36
1231,कक्षा,36
1232,चालक,36
1233,टिप्पणी,36
1234,कार्यविधि,36
1235,निवास,36
1236,हेर्ने,36
1237,गरिसकेको,36
1238,वाणिज्य,36
1239,वडाध्यक्ष,36
1240,किसानले,36
1241,दायर,36
1242,अमेरिकामा,36
1243,हाम्रा,36
1244,रमेश,36
1245,विश्वविद्यालय,36
1246,सदस्यीय,36
1247,पदक,36
1248,विजयी,36
1249,नेपालीलाई,36
1250,घरेलु,36
1251,४६,36
1252,खाद्य,36
1253,चलचित्रमा,36
1254,भर्ना,36
1255,सहित,35
1256,तयारीमा,35
1257,प्रतिबद्धता,35
1258,पेट्रोलियम,35
1259,६३,35
1260,प्रत्यक्ष,35
1261,राई,35
1262,चीनले,35
1263,वर्षदेखि,35
1264,सापकोटाले,35
1265,सन्देश,35
1266,यहाँका,35
1267,औद्योगिक,35
1268,सकिएको,35
1269,बरामद,35
1270,भाइरस,35
1271,आवेदन,35
1272,दाहालले,35
1273,वस्तु,35
1274,राजनीति,35
1275,मेडिकल,35
1276,सन्दर्भमा,35
1277,वर्षा,35
1278,संगठन,35
1279,ल्याइएको,35
1280,थुप्रै,35
1281,बजेटको,35
1282,गतिविधि,35
1283,कांग्रेसले,35
1284,मतदान,35
1285,समूहको,35
1286,राईले,35
1287,पाण्डेले,35
1288,राजदूत,35
1289,लिए,35
1290,संक्रमणको,35
1291,यात्रा,35
1292,चुनौती,35
1293,वर्षीया,35
1294,चर्को,35
1295,व्यवसायीले,35
1296,काठमाडौँ,35
1297,क्रमशः,35
1298,स्थापित,35
1299,निरीक्षक,34
1300,स्रोत,34
1301,छोरा,34
1302,सरकारसँग,34
1303,छिमेकी,34
1304,भ्रष्टाचार,34
1305,पुरानो,34
1306,बाबुराम,34
1307,कित्ता,34
1308,भारतका,34
1309,आबद्ध,34
1310,मन्त्रालयमा,34
1311,अनलाइन,34
1312,लाइन,34
1313,सिफारिस,34
1314,४८,34
1315,गरियोस्,34
1316,ओलीलाई,34
1317,परिषद्,34
1318,पसल,34
1319,किसानलाई,34
1320,जित,34
1321,व्यवस्थित,34
1322,सत्य,34
1323,खाने,34
1324,गरिन्,34
1325,प्रचण्डले,34
1326,त्यसका,34
1327,मूल,34
1328,राजेन्द्र,34
1329,आम्दानी,34
1330,दबाब,34
1331,९०,34
1332,छ’,34
1333,४७,34
1334,सङ्कलन,34
1335,कोही,34
1336,यदि,33
1337,हालै,33
1338,पुगेर,33
1339,उपयुक्त,33
1340,स्वीकार,33
1341,ठाउँ,33
1342,पाएका,33
1343,केन्द्रमा,33
1344,कार्यमा,33
1345,विधेयकमा,33
1346,कानुनी,33
1347,हत्या,33
1348,गरेकी,33
1349,विकल्प,33
1350,जनशक्ति,33
1351,एजेन्सी,33
1352,पदबाट,33
1353,देखिँदैन,33
1354,गराएका,33
1355,पीडित,33
1356,अपेक्षा,33
1357,अभियान,33
1358,तालिम,33
